iter	Passed	Remaining
866	50860	242452
867	50916	242379
868	50969	242296
869	51018	242192
870	51085	242173
871	51140	242097
872	51194	242014
873	51249	241940
874	51306	241874
875	51361	241795
876	51415	241718
877	51465	241617
878	51519	241536
879	51584	241507
880	51634	241409
881	51685	241317
882	51744	241257
883	51802	241198
884	51851	241094
885	51904	241010
886	51957	240924
887	52009	240837
888	52062	240752
889	52110	240646
890	52164	240565
891	52215	240473
892	52268	240387
893	52320	240298
894	52378	240239
895	52433	240164
896	52482	240063
897	52534	239971
898	52583	239870
899	52641	239810
900	52691	239714
901	52741	239618
902	52797	239546
903	52849	239458
904	52900	239369
905	52959	239310
906	53025	239285
907	53079	239206
908	53134	239132
909	53190	239066
910	53254	239030
911	53306	238944
912	53356	238846
913	53405	238747
914	53455	238650
915	53511	238581
916	53557	238466
917	53610	238385
918	53663	238305
919	53716	238220
920	53765	238119
921	53823	238062
922	53883	238007
923	53939	237941
924	53990	237849
925	54040	237755
926	54093	237673
927	54150	237608
928	54201	237519
929	54254	237434
930	54317	237399
931	54374	237332
932	54423	237235
933	54476	237152
934	54528	237069
935	54583	236995
936	54633	236900
937	54690	236835
938	54744	236761
939	54798	236682
940	54850	236597
941	54905	236524
942	54965	236472
943	55021	236405
944	55072	236317
945	55130	236255
946	55184	236181
947	55244	236128
948	55300	236063
949	55356	235993
950	55411	235922
951	55463	235835
952	55518	235762
953	55570	235677
954	55626	235613
955	55682	235543
956	55733	235457
957	55782	235358
958	55841	235304
959	55893	235218
960	55943	235126
961	56004	235077
962	56071	235057
963	56122	234967
964	56174	234886
965	56223	234786
966	56277	234713
967	56331	234635
968	56380	234541
969	56435	234469
970	56492	234406
971	56548	234340
972	56605	234276
973	56656	234190
974	56713	234123
975	56769	234056
976	56818	233961
977	56867	233867
978	56923	233799
979	56973	233707
980	57024	233619
981	57074	233529
982	57125	233440
983	57180	233371
984	57235	233299
985	57283	233202
986	57336	233121
987	57389	233041
988	57441	232962
989	57487	232851
990	57543	232786
991	57600	232723
992	57653	232644
993	57703	232556
994	57763	232506
995	57814	232420
996	57865	232332
997	57919	232259
998	57973	232183
999	58025	232103
1000	58078	232024
1001	58133	231953
1002	58185	231873
1003	58242	231808
1004	58291	231716
1005	58342	231631
1006	58397	231560
1007	58455	231503
1008	58508	231423
1009	58559	231338
1010	58617	231282
1011	58668	231194
1012	58722	231123
1013	58775	231045
1014	58833	230987
1015	58896	230948
1016	58955	230895
1017	59012	230832
1018	59079	230808
1019	59138	230754
1020	59194	230691
