iter	Accuracy	MultiClass
839	0.7470290007	0.5676154195
840	0.7470716373	0.5675983765
841	0.7470638852	0.5675900468
842	0.7470600091	0.5675664929
843	0.7470948937	0.5675524738
844	0.7471026458	0.5675370615
845	0.7471259022	0.5675149451
846	0.7471375303	0.5674997429
847	0.747184043	0.5674769002
848	0.7472344318	0.5674545779
849	0.7471917952	0.5674450137
850	0.7472150515	0.5674312598
851	0.74724606	0.5674109875
852	0.7472615642	0.5673761554
853	0.7472615642	0.567358983
854	0.7472731924	0.5673504009
855	0.7472731924	0.5673345167
856	0.7473313333	0.5673086625
857	0.7473700939	0.5672977826
858	0.7473390854	0.5672889529
859	0.7473584657	0.5672726086
860	0.7473274572	0.5672498008
861	0.7473313333	0.5672248212
862	0.7473545896	0.5672068027
863	0.7473739699	0.5671746801
864	0.7473972263	0.5671360526
865	0.7474243587	0.5671239698
866	0.7474476151	0.567106613
867	0.7474476151	0.5670782358
868	0.7474398629	0.5670578433
869	0.7474592432	0.5670344099
870	0.7474553672	0.5670100117
871	0.7474863757	0.5669929665
872	0.7474863757	0.5669703265
873	0.7474747475	0.566940877
874	0.7474863757	0.566921245
875	0.7474747475	0.5669076863
876	0.7474863757	0.5668968153
877	0.7475135081	0.5668816314
878	0.7475135081	0.5668562324
879	0.7475173841	0.5668354322
880	0.7475212602	0.5668144245
881	0.7475871532	0.5667994864
