,learning_rate,max_depth,n_estimators,subsample,colsample_bytree,subsample_for_bin,num_leaves,min_child_samples,score
11,0.1,,1450.0,1.0,1.0,200000.0,31.0,20.0,0.7409297595978588
77,0.1,40.0,1450.0,0.8,1.0,200000.0,31.0,20.0,0.7409297595978588
5,0.1,,1450.0,0.8,1.0,200000.0,31.0,20.0,0.7409297595978588
83,0.1,40.0,1450.0,1.0,1.0,200000.0,31.0,20.0,0.7409297595978588
80,0.1,40.0,1450.0,0.9,1.0,200000.0,31.0,20.0,0.7409297595978588
38,0.1,25.0,1450.0,0.7,1.0,200000.0,31.0,20.0,0.7409297595978588
8,0.1,,1450.0,0.9,1.0,200000.0,31.0,20.0,0.7409297595978588
60,0.1,25.0,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7408913873486693
18,0.1,,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7408913873486693
24,0.1,,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7408913873486693
96,0.1,40.0,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7408913873486693
93,0.1,40.0,1600.0,0.9,1.0,240000.0,31.0,20.0,0.7408913873486693
21,0.1,,1600.0,0.9,1.0,240000.0,31.0,20.0,0.7408913873486693
90,0.1,40.0,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7408913873486693
15,0.1,,1600.0,0.7,1.0,240000.0,31.0,20.0,0.7408913873486693
57,0.1,25.0,1600.0,0.9,1.0,240000.0,31.0,20.0,0.7408913873486693
87,0.1,40.0,1600.0,0.7,1.0,240000.0,31.0,20.0,0.7408913873486693
51,0.1,25.0,1600.0,0.7,1.0,240000.0,31.0,20.0,0.7408913873486693
54,0.1,25.0,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7408913873486693
3,0.1,,1450.0,0.7,1.0,240000.0,31.0,20.0,0.7408146428502906
6,0.1,,1450.0,0.8,1.0,240000.0,31.0,20.0,0.7408146428502906
12,0.1,,1450.0,1.0,1.0,240000.0,31.0,20.0,0.7408146428502906
9,0.1,,1450.0,0.9,1.0,240000.0,31.0,20.0,0.7408146428502906
48,0.1,25.0,1450.0,1.0,1.0,240000.0,31.0,20.0,0.7408146428502906
39,0.1,25.0,1450.0,0.7,1.0,240000.0,31.0,20.0,0.7408146428502906
42,0.1,25.0,1450.0,0.8,1.0,240000.0,31.0,20.0,0.7408146428502906
45,0.1,25.0,1450.0,0.9,1.0,240000.0,31.0,20.0,0.7408146428502906
75,0.1,40.0,1450.0,0.7,1.0,240000.0,31.0,20.0,0.7408146428502906
78,0.1,40.0,1450.0,0.8,1.0,240000.0,31.0,20.0,0.7408146428502906
81,0.1,40.0,1450.0,0.9,1.0,240000.0,31.0,20.0,0.7408146428502906
84,0.1,40.0,1450.0,1.0,1.0,240000.0,31.0,20.0,0.7408146428502906
315,0.2,40.0,1750.0,0.7,1.0,240000.0,31.0,20.0,0.740795456725696
279,0.2,25.0,1750.0,0.7,1.0,240000.0,31.0,20.0,0.740795456725696
318,0.2,40.0,1750.0,0.8,1.0,240000.0,31.0,20.0,0.740795456725696
282,0.2,25.0,1750.0,0.8,1.0,240000.0,31.0,20.0,0.740795456725696
321,0.2,40.0,1750.0,0.9,1.0,240000.0,31.0,20.0,0.740795456725696
288,0.2,25.0,1750.0,1.0,1.0,240000.0,31.0,20.0,0.740795456725696
285,0.2,25.0,1750.0,0.9,1.0,240000.0,31.0,20.0,0.740795456725696
252,0.2,,1750.0,1.0,1.0,240000.0,31.0,20.0,0.740795456725696
324,0.2,40.0,1750.0,1.0,1.0,240000.0,31.0,20.0,0.740795456725696
249,0.2,,1750.0,0.9,1.0,240000.0,31.0,20.0,0.740795456725696
22,0.1,,1600.0,1.0,1.0,160000.0,31.0,20.0,0.740795456725696
88,0.1,40.0,1600.0,0.8,1.0,160000.0,31.0,20.0,0.740795456725696
85,0.1,40.0,1600.0,0.7,1.0,160000.0,31.0,20.0,0.740795456725696
58,0.1,25.0,1600.0,1.0,1.0,160000.0,31.0,20.0,0.740795456725696
55,0.1,25.0,1600.0,0.9,1.0,160000.0,31.0,20.0,0.740795456725696
52,0.1,25.0,1600.0,0.8,1.0,160000.0,31.0,20.0,0.740795456725696
49,0.1,25.0,1600.0,0.7,1.0,160000.0,31.0,20.0,0.740795456725696
94,0.1,40.0,1600.0,1.0,1.0,160000.0,31.0,20.0,0.740795456725696
91,0.1,40.0,1600.0,0.9,1.0,160000.0,31.0,20.0,0.740795456725696
19,0.1,,1600.0,0.9,1.0,160000.0,31.0,20.0,0.740795456725696
16,0.1,,1600.0,0.8,1.0,160000.0,31.0,20.0,0.740795456725696
13,0.1,,1600.0,0.7,1.0,160000.0,31.0,20.0,0.740795456725696
243,0.2,,1750.0,0.7,1.0,240000.0,31.0,20.0,0.740795456725696
246,0.2,,1750.0,0.8,1.0,240000.0,31.0,20.0,0.740795456725696
37,0.1,25.0,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7405652232305596
40,0.1,25.0,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7405652232305596
46,0.1,25.0,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7405652232305596
10,0.1,,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7405652232305596
7,0.1,,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7405652232305596
73,0.1,40.0,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7405652232305596
76,0.1,40.0,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7405652232305596
79,0.1,40.0,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7405652232305596
82,0.1,40.0,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7405652232305596
4,0.1,,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7405652232305596
43,0.1,25.0,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7405652232305596
1,0.1,,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7405652232305596
270,0.2,25.0,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7403733619846127
273,0.2,25.0,1600.0,0.9,1.0,240000.0,31.0,20.0,0.7403733619846127
306,0.2,40.0,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7403733619846127
309,0.2,40.0,1600.0,0.9,1.0,240000.0,31.0,20.0,0.7403733619846127
303,0.2,40.0,1600.0,0.7,1.0,240000.0,31.0,20.0,0.7403733619846127
234,0.2,,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7403733619846127
267,0.2,25.0,1600.0,0.7,1.0,240000.0,31.0,20.0,0.7403733619846127
312,0.2,40.0,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7403733619846127
231,0.2,,1600.0,0.7,1.0,240000.0,31.0,20.0,0.7403733619846127
240,0.2,,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7403733619846127
237,0.2,,1600.0,0.9,1.0,240000.0,31.0,20.0,0.7403733619846127
276,0.2,25.0,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7403733619846127
266,0.2,25.0,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7398745227451508
305,0.2,40.0,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7398745227451508
302,0.2,40.0,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7398745227451508
239,0.2,,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7398745227451508
