iter	Accuracy	MultiClass
374	0.7467718726	0.5688489541
375	0.7468150422	0.568812619
376	0.7468006523	0.5687411883
377	0.7468726017	0.5687107654
378	0.7468965848	0.5686715248
379	0.7469013814	0.5686104309
380	0.7469109747	0.5685837706
381	0.7469781274	0.5685155359
382	0.7470117038	0.5684665641
383	0.7469781274	0.5684330725
384	0.7469733308	0.5683874825
385	0.7469637375	0.5683383301
386	0.7470548734	0.568265957
387	0.7469973139	0.5682125475
388	0.7470117038	0.5681865797
389	0.7470165004	0.5681486326
390	0.7470500767	0.5680988315
391	0.7470165004	0.5680643966
392	0.7471076362	0.5680266013
393	0.7471124328	0.5679924543
394	0.7471460092	0.5679388338
395	0.7471699923	0.5679179997
396	0.7471556025	0.5678731903
397	0.7471795856	0.5678100898
398	0.7472035687	0.5677893448
399	0.7472419417	0.5677529437
400	0.7472563315	0.5675951794
401	0.747237145	0.5675696073
402	0.7472899079	0.567527991
403	0.74742901	0.567481408
404	0.7474002302	0.5674237169
405	0.7474338066	0.5673498286
406	0.7475057559	0.5672709035
407	0.7475441289	0.5672246044
408	0.747644858	0.5671970565
409	0.7476352648	0.5671440083
410	0.7476688411	0.5671123023
411	0.7477407905	0.567081631
412	0.7477503837	0.5670408874
413	0.7477935533	0.5669576529
414	0.74779835	0.5668888499
415	0.7477503837	0.5668493289
416	0.7477359939	0.5668110211
417	0.7477359939	0.5667551441
418	0.7477791635	0.5667318726
419	0.7477695702	0.5666725217
420	0.7478031466	0.566637769
421	0.74779835	0.566612084
422	0.7478798926	0.5665370072
423	0.7479230622	0.5665139724
424	0.7479518419	0.5664604422
425	0.7479134689	0.5664349652
426	0.7479038757	0.5663882469
427	0.7478079432	0.5663619359
428	0.7478702993	0.5663107691
429	0.7479662318	0.566222616
430	0.747975825	0.5661963669
431	0.7479422487	0.5661293056
432	0.7479710284	0.5661080941
433	0.7480189946	0.56606867
434	0.7479854183	0.5660367384
435	0.7480573676	0.5659862242
436	0.748090944	0.5659225906
437	0.7481820798	0.5658652412
438	0.7481197237	0.5658217184
439	0.7481149271	0.5657562134
440	0.7482252494	0.5657350517
441	0.7482060629	0.565683301
442	0.7481820798	0.5656424235
443	0.7481676899	0.5656239885
444	0.7482780123	0.5655823842
445	0.7482876055	0.5655574789
446	0.748268419	0.5654981494
447	0.7482252494	0.5654425557
448	0.7482444359	0.5653843052
449	0.7483019954	0.5653183333
450	0.7482971988	0.5652252982
451	0.7483307751	0.5652029982
452	0.7483787414	0.5651495194
453	0.7483739447	0.5650950503
454	0.7483979279	0.5650663361
455	0.7484938603	0.5650212296
456	0.7484842671	0.5649851001
457	0.7485706063	0.5649341777
458	0.7485178434	0.5648803702
459	0.748561013	0.5648332458
460	0.7485370299	0.564789534
461	0.7486233691	0.5647055818
462	0.748637759	0.5646753239
463	0.748637759	0.5646343347
464	0.7486617421	0.5646054717
465	0.7486041827	0.5645539227
466	0.7486425556	0.5645121929
467	0.7485945894	0.5644833956
468	0.7485945894	0.5644339603
469	0.7486041827	0.5643800591
470	0.7486425556	0.5643214955
471	0.7486569455	0.5642534998
472	0.7487432847	0.5642150319
473	0.7487864543	0.5641787205
474	0.748791251	0.5641419528
475	0.7488152341	0.5641081319
476	0.7488200307	0.5640670855
477	0.7487960476	0.5640103612
478	0.7488440138	0.5639757253
479	0.74889198	0.5639409121
480	0.7489495395	0.5639016077
481	0.7489399463	0.563871389
482	0.7489543361	0.56381767
483	0.7490310821	0.5637426645
484	0.7490262855	0.5636998662
485	0.749083845	0.5636596406
486	0.7490502686	0.5636026764
487	0.7490694551	0.5635206816
488	0.7490934382	0.563501046
489	0.7490598619	0.5634766718
490	0.7490982348	0.56344991
491	0.7492133538	0.5634151672
492	0.7493236761	0.5633554313
493	0.7493044896	0.5632906939
494	0.749338066	0.563255877
495	0.7494196086	0.5632245138
496	0.7494052187	0.5631952712
497	0.7495251343	0.5631414166
498	0.7494819647	0.5630972108
499	0.7495778972	0.5630641121
500	0.7495826938	0.5630284101
501	0.7495635073	0.5629795646
502	0.7496162701	0.5629001311
503	0.7496930161	0.5628646026
504	0.7496882195	0.5628359058
505	0.7497745587	0.5627968563
506	0.7497649655	0.5627536841
507	0.7497697621	0.5627091407
508	0.7497361857	0.5626554383
509	0.7497697621	0.5625523764
510	0.7497745587	0.5625116309
511	0.7496642364	0.5624843314
512	0.7497409823	0.5624542073
513	0.749745779	0.5624157988
514	0.7497409823	0.5623896697
515	0.7498177283	0.5623496841
516	0.7497937452	0.562324187
517	0.7498177283	0.5622619253
518	0.7498896777	0.5622063128
519	0.7499952034	0.5621702644
520	0.7499904068	0.5621443135
521	0.749961627	0.5621044949
522	0.7499760169	0.5620931422
523	0.7500719493	0.5620457631
524	0.7500287797	0.5620290634
525	0.7500671527	0.5619942059
526	0.7500527629	0.5619485224
527	0.7501055257	0.5619152513
528	0.7501438987	0.5618597525
529	0.7501534919	0.561829212
530	0.7501918649	0.5617681079
531	0.7502302379	0.5617520272
532	0.7502062548	0.5617023073
533	0.7502350345	0.5616331779
534	0.7502638143	0.5616037454
535	0.7502782041	0.5615729771
536	0.7503117805	0.5615305458
537	0.7503549501	0.5614694587
538	0.750292594	0.5614408359
539	0.7503597467	0.5613877416
540	0.7503789332	0.5613474537
541	0.7503885265	0.5613014125
542	0.7503837299	0.5612592223
543	0.75036934	0.5612157173
544	0.7504316961	0.5611863031
545	0.7504700691	0.5611338657
546	0.7504796623	0.5611040549
547	0.7505180353	0.5610479093
548	0.750546815	0.5610197468
549	0.7505516117	0.5609755319
550	0.7506091711	0.5609428438
551	0.7506139678	0.5609202352
552	0.7506475441	0.5609020437
553	0.7506763239	0.5608298764
554	0.7507146969	0.5607901597
555	0.7506907137	0.5607380668
556	0.7506379509	0.5606808398
